Company Name,Industry,Symbol,Series,ISIN Code
FirstRand Limited,Financials,FSR.JO,EQ,
Capitec Bank Holdings Limited,Financials,CPI.JO,EQ,
Standard Bank Group Limited,Financials,SBK.JO,EQ,
Investec Limited Non-Red.Non-Cum.Non-Ptg.Prf.Shs,Financials,INPR.JO,EQ,
Investec Limited,Financials,INL.JO,EQ,
Absa Group Limited,Financials,ABG.JO,EQ,
Discovery Limited,Financials,DSY.JO,EQ,
Sanlam Limited,Financials,SLM.JO,EQ,
Nedbank Group,Financials,NED.JO,EQ,
Investec plc,Financials,INP.JO,EQ,
OUTsurance Group Limited,Financials,OUT.JO,EQ,
Remgro Limited,Financials,REM.JO,EQ,
NEPI Rockcastle N.V.,Financials,NRP.JO,EQ,
Ninety One Plc,Financials,N91.JO,EQ,
Ninety One Ltd.,Financials,NY1.JO,EQ,
Reinet Investments S.C.A.,Financials,RNI.JO,EQ,
Old Mutual Ltd.,Financials,OMU.JO,EQ,
Shaftesbury Capital PLC,Financials,SHC.JO,EQ,
Quilter Plc,Financials,QLT.JO,EQ,
Growthpoint Properties Limited,Financials,GRT.JO,EQ,
Primary Health Properties PLC,Financials,PHP.JO,EQ,
Momentum Group Limited,Financials,MTM.JO,EQ,
Santam Limited,Financials,SNT.JO,EQ,
Redefine Properties Limited,Financials,RDF.JO,EQ,
Hammerson plc,Financials,HMN.JO,EQ,
PSG Financial Services Limited,Financials,KST.JO,EQ,
Vukile Property Fund Limited,Financials,VKE.JO,EQ,
Sirius Real Estate Limited,Financials,SRE.JO,EQ,
Resilient REIT Limited,Financials,RES.JO,EQ,
Fortress Real Estate Investments Limited Class B,Financials,FFB.JO,EQ,
Supermarket Income REIT Plc,Financials,SRI.JO,EQ,
Hyprop Investments Limited,Financials,HYP.JO,EQ,
Coronation Fund Managers Limited,Financials,CML.JO,EQ,
Fairvest Limited Class A,Financials,FTA.JO,EQ,
Fairvest Limited Class B,Financials,FTB.JO,EQ,
Lighthouse Properties Plc,Financials,LTE.JO,EQ,
MAS P.L.C.,Financials,MSP.JO,EQ,
Equites Property Fund Ltd ZAR,Financials,EQU.JO,EQ,
JSE Limited,Financials,JSE.JO,EQ,
Attacq Limited,Financials,ATT.JO,EQ,
Alexander Forbes Group Holdings Limited,Financials,AFH.JO,EQ,
SA Corporate Real Estate Ltd.,Financials,SAC.JO,EQ,
Brait PLC,Financials,BAT.JO,EQ,
Stor-Age Property REIT Ltd.,Financials,SSS.JO,EQ,
Burstone Group Limited,Financials,BTN.JO,EQ,
Dipula Properties Limited Class B,Financials,DIB.JO,EQ,
Emira Property Fund Ltd.,Financials,EMI.JO,EQ,
Spear REIT Ltd.,Financials,SEA.JO,EQ,
Weaver Fintech Ltd.,Financials,WVR.JO,EQ,
Sabvest Capital Ltd.,Financials,SBP.JO,EQ,
Sygnia Ltd.,Financials,SYG.JO,EQ,
Octodec Investments Limited,Financials,OCT.JO,EQ,
Acsion Limited,Financials,ACS.JO,EQ,
Collins Property Group Limited,Financials,CPP.JO,EQ,
YeboYethu Limited,Financials,YYLBEE.JO,EQ,
Zeda Limited,Financials,ZZD.JO,EQ,
Purple Group Limited,Financials,PPE.JO,EQ,
Araxi Limited,Financials,AXX.JO,EQ,
Zeder Investments Limited,Financials,ZED.JO,EQ,
Schroder European Real Estate Investment Trust Plc,Financials,SCD.JO,EQ,
Universal Partners Ltd.,Financials,UPL.JO,EQ,
Texton Property Fund Limited,Financials,TEX.JO,EQ,
Accelerate Property Fund Ltd.,Financials,APF.JO,EQ,
EPE Capital Partners Ltd. Class A,Financials,EPE.JO,EQ,
RMB Holdings Limited,Financials,RMH.JO,EQ,
Finbond Group Limited,Financials,FGL.JO,EQ,
Newpark REIT Ltd.,Financials,NRL.JO,EQ,
Calgro M3 Holdings Limited,Financials,CGR.JO,EQ,
Vunani Limited,Financials,VUN.JO,EQ,
Goldrush Holdings Limited Non-Cum Pref Registered Shs,Financials,GRSP.JO,EQ,
Putprop Limited,Financials,PPR.JO,EQ,
Trematon Capital Investments Limited,Financials,TMT.JO,EQ,
Delta Property Fund Limited,Financials,DLT.JO,EQ,
Mahube Infrastructure Ltd.,Financials,MHB.JO,EQ,
RH Bophelo Ltd.,Financials,RHB.JO,EQ,
Mantengu Limited,Financials,MTU.JO,EQ,
Visual International Holdings Ltd.,Financials,VIS.JO,EQ,
Channel VAS Investments Limited,Financials,OPA.JO,EQ,
Cilo Cybin Holdings Limited,Financials,CCC.JO,EQ,
Afine Investments Limited,Financials,ANI.JO,EQ,
