Company Name,Industry,Symbol,Series,ISIN Code
BHP Group Ltd,Materials,BHG.JO,EQ,
Anglo American plc,Materials,AGL.JO,EQ,
Anglogold Ashanti PLC,Materials,ANG.JO,EQ,
Gold Fields Limited,Materials,GFI.JO,EQ,
Valterra Platinum Limited,Materials,VAL.JO,EQ,
South32 Ltd.,Materials,S32.JO,EQ,
Impala Platinum Holdings Limited,Materials,IMP.JO,EQ,
Harmony Gold Mining Co. Ltd.,Materials,HAR.JO,EQ,
Sasol Limited,Materials,SOL.JO,EQ,
BEE - Sasol Limited,Materials,SOLBE1.JO,EQ,
Sibanye Stillwater Limited,Materials,SSW.JO,EQ,
Northam Platinum Holdings Limited,Materials,NPH.JO,EQ,
Kumba Iron Ore Limited,Materials,KIO.JO,EQ,
Mondi plc,Materials,MNP.JO,EQ,
Pan African Resources PLC,Materials,PAN.JO,EQ,
African Rainbow Minerals Limited,Materials,ARI.JO,EQ,
DRDGOLD Ltd.,Materials,DRD.JO,EQ,
Alphamin Resources Corp.,Materials,APH.JO,EQ,
Omnia Holdings Limited,Materials,OMN.JO,EQ,
AECI Ltd,Materials,AFE.JO,EQ,
PPC Limited,Materials,PPC.JO,EQ,
Astral Foods Limited,Materials,ARL.JO,EQ,
Tharisa Plc,Materials,THA.JO,EQ,
Sappi Limited,Materials,SAP.JO,EQ,
Afrimat Limited,Materials,AFT.JO,EQ,
Montauk Renewables Inc.,Materials,MKR.JO,EQ,
Nampak Limited,Materials,NPK.JO,EQ,
Merafe Resources Limited,Materials,MRF.JO,EQ,
Kore Potash PLC,Materials,KP2.JO,EQ,
Mpact Limited,Materials,MPT.JO,EQ,
Sea Harvest Group Ltd.,Materials,SHG.JO,EQ,
Master Drilling Group Ltd.,Materials,MDI.JO,EQ,
Orion Minerals Limited,Materials,ORN.JO,EQ,
Jubilee Metals Group PLC,Materials,JBL.JO,EQ,
Quantum Foods Holdings Ltd,Materials,QFH.JO,EQ,
Southern Palladium Ltd.,Materials,SDL.JO,EQ,
Copper 360 Limited,Materials,CPR.JO,EQ,
ArcelorMittal South Africa Limited,Materials,ACL.JO,EQ,
Gemfields Group Limited,Materials,GML.JO,EQ,
Brimstone Investment Corporation Limited,Materials,BRT.JO,EQ,
Brimstone Investment Corporation Limited Class N,Materials,BRN.JO,EQ,
Transpaco Limited,Materials,TPC.JO,EQ,
Eastern Platinum Limited,Materials,EPS.JO,EQ,
Hulamin Limited,Materials,HLM.JO,EQ,
Sephaku Holdings Limited,Materials,SEP.JO,EQ,
Crookes Brothers Limited,Materials,CKS.JO,EQ,
Insimbi Industrial Holdings Limited,Materials,ISB.JO,EQ,
Brikor Limited,Materials,BIK.JO,EQ,
Shuka Minerals PLC,Materials,SKA.JO,EQ,
Randgold & Exploration Company Ltd,Materials,RNG.JO,EQ,
Europa Metals Limited,Materials,EUZ.JO,EQ,
Rainbow Chicken Limited,Materials,RBO.JO,EQ,
