Company Name,Industry,Symbol,Series,ISIN Code
Prosus N.V. Class N,Technology,PRX.JO,EQ,
Naspers Limited Class N,Technology,NPN.JO,EQ,
Karooooo Ltd.,Technology,KRO.JO,EQ,
Bytes Technology Group Plc,Technology,BYI.JO,EQ,
Datatec Limited,Technology,DTC.JO,EQ,
Altron Limited Class A,Technology,AEL.JO,EQ,
PowerFleet Inc.,Technology,PWR.JO,EQ,
Lesaka Technologies Inc.,Technology,LSK.JO,EQ,
iOCO Limited,Technology,IOC.JO,EQ,
Mustek Limited,Technology,MST.JO,EQ,
PBT Holdings Limited,Technology,PBT.JO,EQ,
ISA Holdings Limited,Technology,ISA.JO,EQ,
Africa Bitcoin Corporation Limited Pfd Registered Shs A,Technology,BACA.JO,EQ,
Africa Bitcoin Corporation Limited,Technology,BAC.JO,EQ,
